Scenario,Iterations,SlackMW,LossMW,Vmin_pu,VminBus
A: Base case,4,78.4912269680205,8.49122696840708,0.877505443175114,5
B: Peak load (+20%),4,113.476830255561,13.4768303053439,0.829028570310059,5
C: Line 2-4 outage,5,85.5443306392095,15.5443306392098,0.784641853611446,5
D: Base + 30 Mvar cap at Bus 5,4,77.3382398790662,7.3382398790695,0.980025415040014,4
